BeetleFly,0.75,0.5
BirdChicken,0.55,0.4772727272727273
Coffee,1.0,1.0
Computers,0.5760000000000001,0.46712056737588653
DistalPhalanxOutlineCorrect,0.6819875776397515,0.6898626470736756
Earthquakes,0.5517857142857143,0.2813194342485196
ECG200,0.8637152777777779,0.8741003787878788
ECGFiveDays,0.7974358420927672,0.4644604237036423
FordA,0.6634126836397731,0.5969827116526591
FordB,0.6062441695272821,0.5693701137975792
GunPoint,0.9135846372688478,0.46426976532239694
Ham,0.5996732026143792,0.44584500466853405
HandOutlines,0.8313663906601947,0.8448647771432581
Herring,0.5313765182186234,0.579280761024182
ItalyPowerDemand,0.9552790244344711,0.47579942811041903
Lightning2,0.7483766233766235,0.7119970193740686
MiddlePhalanxOutlineCorrect,0.7526987951807228,0.7368077194479397
MoteStrain,0.8755812311444894,0.5020235232309075
PhalangesOutlinesCorrect,0.722370470475056,0.7437203709002329
ProximalPhalanxOutlineCorrect,0.7365632510377976,0.8057528053851466
ShapeletSim,0.5388888888888889,0.5208771929824562
SonyAIBORobotSurface1,0.7327558930548963,0.4878673303470244
SonyAIBORobotSurface2,0.8444925915571708,0.32761301869683146
Strawberry,0.9444868856633563,0.33720713720713724
ToeSegmentation1,0.6754629629629629,0.6007881112578339
ToeSegmentation2,0.8176100628930818,0.43727329580988117
TwoLeadECG,0.7472805475904171,0.46393635658067656
Wafer,0.9915054958727971,0.9979932626777741
Wine,0.6111111111111112,0.4563492063492063
WormsTwoClass,0.5984848484848484,0.3894221720308677
Yoga,0.8275297279356155,0.40301011829628847
Chinatown,0.9287362214816713,0.2491532783326096
DodgerLoopGame,0.879419191919192,0.5147598476402825
DodgerLoopWeekend,0.9852941176470588,0.7196537477867401
FreezerRegularTrain,0.8049122807017545,0.4438961403508772
FreezerSmallTrain,0.6757894736842105,0.44212248412442146
GunPointAgeSpan,0.9681891025641026,0.49720550882744835
GunPointMaleVersusFemale,0.9936546184738955,0.5221920593767475
GunPointOldVersusYoung,1.0,0.47619047619047616
HouseTwenty,0.7081159420289854,0.5061951554077009
PowerCons,0.9777777777777779,0.4945707070707071
SemgHandGenderCh2,0.8965201465201466,0.6031225071225071
